,city,lat,lng,country,LSOA,postcode
88,East Ham,51.5323,0.0554,United Kingdom,E01003523,E66EU
89,Stratford,51.5423,-0.0026,United Kingdom,E01003617,E201GR
90,West Ham,51.5347,0.0077,United Kingdom,E01003633,E153LH
91,Ilford,51.5588,0.0855,United Kingdom,E01003686,IG11SN
92,Goodmayes,51.5584,0.1119,United Kingdom,E01003716,IG39PQ
93,Snaresbrook,51.587,0.0146,United Kingdom,E01003775,E182SR
94,Wanstead,51.5778,0.0286,United Kingdom,E01003777,E11
95,Twickenham,51.449,-0.337,United Kingdom,E01003870,TW11AA
96,Richmond,51.456,-0.301,United Kingdom,E01003821,TW106BB
97,Hampton,51.422,-0.3670000000000001,United Kingdom,E01003830,TW123AN
98,Kew Green,51.5308,-0.2248,United Kingdom,E01000532,NW105QP
99,Sutton,51.3656,-0.1963,United Kingdom,E01004142,SM11RL
100,Carshalton,51.3652,-0.1676,United Kingdom,E01004098,SM53PS
101,Wallington,51.3647,-0.1403,United Kingdom,E01004079,SM68HL
102,Worcester Park,51.3752,-0.239,United Kingdom,E01004121,KT48UR
103,Cheam,51.36,-0.21,United Kingdom,E01004157,SM12DR
104,Stepney,51.5152,-0.0462,United Kingdom,E01004289,E10QW
105,Spitalfields,51.5166,-0.075,United Kingdom,E01004310,E17PN
106,Walthamstow,51.59,-0.0,United Kingdom,E01004471,E17
107,Chingford,51.631,0.016,United Kingdom,E01004353,E4
108,Leyton,51.5606,-0.0155,United Kingdom,E01004429,E105SB
109,Wandsworth,51.455,-0.192,United Kingdom,E01004513,SW184AD
110,Balham,51.4434,-0.1525,United Kingdom,E01004545,SW129AX
111,Bolton,53.578,-2.4290000000000003,United Kingdom,E01004848,BL11RT
112,Farnworth,53.5452,-2.3999,United Kingdom,E01004860,BL49HS
113,Westhoughton,53.549,-2.529,United Kingdom,E01004936,BL5
114,Horwich,53.592,-2.54,United Kingdom,E01004883,BL65PS
115,Kearsley,53.53,-2.37,United Kingdom,E01004908,BL48SF
116,Little Lever,53.563,-2.369,United Kingdom,E01004913,BL31HY
117,Blackrod,53.5898,-2.5809,United Kingdom,E01004782,BL65TJ
118,Bury,53.593,-2.298,United Kingdom,E01005027,BL90DA
119,Prestwich,53.5333,-2.2833,United Kingdom,E01005036,M251BT
120,Radcliffe,53.5615,-2.3268,United Kingdom,E01005008,M262TT
121,Whitefield,53.5521,-2.2992,United Kingdom,E01004989,M457GX
122,Ramsbottom,53.6484,-2.3169,United Kingdom,E01005014,BL09AG
123,Tottington,53.613,-2.339,United Kingdom,E01005051,BL83LZ
124,Manchester,53.4794,-2.2453,United Kingdom,E01033677,M25PE
125,Wythenshawe,53.392,-2.264,United Kingdom,E01005087,M228EX
126,Northenden,53.4075,-2.2583,United Kingdom,E01005268,M224FZ
127,Baguley,53.399,-2.276,United Kingdom,E01005112,M231AF
128,Moston,53.5156,-2.1848,United Kingdom,E01005249,M405HG
129,Oldham,53.5444,-2.1169,United Kingdom,E01005350,OL11NW
130,Royton,53.566,-2.121,United Kingdom,E01005392,OL26QW
131,Failsworth,53.5102,-2.1575,United Kingdom,E01005371,M359PE
132,Hollinwood,53.5183,-2.144,United Kingdom,E01005362,OL83RB
133,Lees,53.538,-2.069,United Kingdom,E01005419,OL44NA
134,Rochdale,53.6136,-2.161,United Kingdom,E01005484,OL161QT
135,Middleton,53.555,-2.187,United Kingdom,E01005538,M242LU
136,Heywood,53.59,-2.219,United Kingdom,E01005504,OL101BA
